ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
4922,-0.3440739332524207,-1.132277103392619,-1.1878277437103808,0.9702128885912258,0.9571514775269878,-0.5917760053423489,-0.7006958863480942,-0.23088857042514588,-0.6150415270415682,0.7943666703040532,0.6810937148194147,-0.03723169542560524,-0.5623493903099734,-0.7338697023107152,Yes,Blue,No,1,13,-0.552699744427765,0
5009,-1.0102100667093172,0.9939257487572368,-1.1878277437103808,-0.9869889039559153,0.5166830484133779,-0.8658544055742489,-0.6953993123070243,-0.19784625225144697,-0.7971753389560109,-0.10906648396325248,-1.104064447912903,-0.46864082450515526,-0.1409387470775106,0.4330663453288247,No,Green,No,1,17,-1.2624693583633142,0
4450,-1.1736012503145632,-1.1712930149356242,-0.3696019339137798,-0.008388007682344774,0.8683718484940316,-1.0406209968152376,1.1954776203549446,0.04981378967903989,0.5210077290092479,0.6412047841997656,0.7412675854733131,-0.37728359717066245,0.8034726051666704,1.2775595376995446,Yes,Green,Yes,2,34,-1.2713119522775866,0
1070,-1.038342099667405,-0.2515081592397856,-0.10093843252982983,-0.9869889039559153,-0.25693227837923405,-0.4996767858312246,0.07260392364811732,1.5065079880223984,-1.0192288904681397,-0.5019600178829391,-0.101166603681264,-0.2808509683175863,-0.35164406869374204,0.14645047397876204,Yes,Red,No,1,14,-1.076429166527282,0
400,-1.2926935339587666,-1.1712930149356242,-1.1199596496383752,-0.008388007682344774,-0.5661783423266271,-1.2730883038945213,-0.5365020910749262,-0.9439732654880213,2.133598876507442,-1.6007300703702012,-0.4822677844892867,-0.8340697338431273,-0.17856469736612327,0.5149565942859855,No,White,Yes,1,21,-1.4084304375165198,0
5979,-0.5481291755601924,1.0001466973486308,-0.28752431655893884,-0.9869889039559153,0.9393955517203968,-0.32380056543949925,-1.0714560692229902,0.34058618960759085,0.18584824863700874,0.22167440052281098,-0.020934776142732796,0.5819672898415142,-1.8642072702959755,-2.0901769506636887,No,White,Yes,2,36,-0.6668356761845087,0
3703,-0.9177408408207134,0.048224186476874945,-0.9458751394191286,-0.008388007682344774,0.8791254373628122,0.366943580893933,-1.3468779193586269,0.001981100513304111,-0.9768141671455982,-2.8437830590426576,0.13952887893432958,0.41447903972827704,-0.6338386958583379,-0.4421356904008301,No,White,No,1,10,-1.0482659965433276,0
2260,-0.27825870622401916,-1.1712930149356242,-1.1878277437103808,-1.9655898002294858,0.44705266733280147,0.9450603684276164,-1.3892505116871865,0.42460808439213976,-0.5094205493560238,0.10402831409488486,-1.565397456259457,0.4094036382096938,-0.1898524824527072,0.023615100543021364,No,Yellow,Yes,1,15,-0.5773515197965731,0
6739,-1.0703204038775327,-1.1712930149356242,-1.1878277437103808,0.9702128885912258,0.32929908290920995,-1.4534030408891923,-0.615950701690975,1.8108120039649405,2.043779462412648,1.0096812058419606,1.7040495159356865,-0.7427125065086343,0.4460260774248489,0.2129863012564555,No,Red,Yes,1,19,-1.2430456350683319,0
2469,-1.0598888390795833,-0.15420313315930637,-1.1878277437103808,-0.9869889039559153,-1.0902818263964345,-0.3803916521270575,-0.9337451441551718,0.1294300420404287,1.1281204353907237,0.0729519893780733,0.6810937148194147,1.1098090477741405,1.4243007849287814,1.9173271076773624,No,Red,Yes,1,9,-0.5759927518583154,0
2495,-1.3638744114896753,-1.1712930149356242,0.5046165169154283,-0.9869889039559153,1.3359207439283582,-0.5812345284103527,0.46455040268729314,-1.1881717312288824,0.777991052669352,-0.14680202111938104,1.463354033320093,0.9169437900679881,0.7808970349935025,-0.3755998631231371,No,Blue,Yes,1,2,-1.5180202087989794,0
2067,-0.27856234286691567,-1.1712930149356242,1.1008058434315164,-0.9869889039559153,0.8162115835491154,2.744324036346749,-1.2144635683318783,1.1603503690598373,0.22659964947631314,1.0163404182812776,0.29999253401139153,-0.2351723546503399,0.33691082158787183,0.07991464670106904,Yes,Yellow,Yes,1,23,-0.5208613261932004,0
6880,-0.9358552379887355,-1.1712930149356242,-0.9774474299119082,-0.008388007682344774,0.35466469120434047,0.3109073087817426,0.3003566074141247,0.3311455272722484,0.2690143727988547,-0.15124149607892465,-1.3648178874131291,-1.1842724386253505,-0.6827524312335345,-0.8259962323875208,Yes,Blue,Yes,1,11,-0.9551739793670241,0
1354,-1.3632552171347612,-1.1712930149356242,-0.07984938816361657,-0.9869889039559153,-1.424107522043898,0.7431078629935848,0.07790049768918715,-0.7819085620646405,-1.2878554715109023,0.33488101199119663,1.2226585507044994,-0.05753330149993703,0.1826444254045594,-0.1248109756918324,No,Blue,No,1,8,-1.5317973774356621,0
5294,-0.9903231095846384,-0.40182036237447977,-0.42973333502950756,-0.9869889039559153,1.5787160593842826,0.7353404589384297,0.030231331319557745,-0.1789649275807618,0.7630211503202197,1.242753641218046,-1.6255713269133554,-1.1842724386253505,0.14501847511594676,0.17204117677787512,Yes,Blue,No,1,2,-0.451181497045468,0
3250,-1.2660055093399116,-1.1712930149356242,0.8000682850093234,-0.9869889039559153,1.235887359102492,-1.4689378489995024,0.44336410652301333,-0.7944961118450973,0.49273124679422026,1.3737181525246092,0.0392390945111656,-0.05753330149993703,0.28047189615495255,0.5917287026833233,No,Yellow,No,1,10,-1.3326004562044425,0
