const,PC1,PC2,PC3,PC4,PC7,PC8,PC10
1.0,-2.6876500179932603,0.1441788649978212,0.9292127744529188,-0.8666347530601789,-0.7794994002115609,0.1356494980931983,-0.778949487835282
1.0,0.2856412807902271,1.851394306932895,0.8751073225579974,0.0290206659570503,-0.4507575992400979,0.6793441357990789,-0.0023132069102459
1.0,2.5017257485036457,-0.0805909633899119,1.6414921534656832,-0.8948644001135562,-1.2996582911546428,0.964288141238517,0.2987146814746159
1.0,-1.5153705978002754,0.6721136112465187,1.859551156441993,1.6519448403362036,-1.0100814942617045,-0.3935432777342486,-1.699220564579579
1.0,0.0945202351531398,0.1455008801411131,-0.3273991797521461,1.4217054063265289,-0.555106659526768,0.6134537071129194,-0.1545589384193295
1.0,3.109948040799702,-2.9592486452805264,-0.8049452155100177,0.0788357114337595,-0.3020952534382327,-0.5775600527493259,1.004247832309633
1.0,1.327426580556805,1.2679412406486623,0.1441327355162779,0.421046704730712,-0.0614553105054551,1.0246496456708305,-0.4651319499990153
1.0,-1.124332584492524,1.4959468405212697,-0.7560393856709311,-0.0780197299721412,-0.2441775777374675,0.0922982184193539,0.9057128770891676
1.0,-2.4383038323726147,-1.0117592028596871,1.766629188884417,-0.3952116857991908,-0.074384721598763,-1.8453168330164624,-0.2467871082144277
1.0,-2.880725430380031,-0.5127288155411812,-1.80394316405213,-0.5787742774972818,0.2072044899295919,-2.1024607792045864,-1.724461471402848
1.0,-3.3067570900117538,0.6796284932690739,-0.2530433983322915,-0.2093077474555946,-1.159105949857495,-0.6241751753216281,-0.213353823824575
1.0,1.084149013379252,2.333411917478999,0.7729063098454705,0.3043021554953906,0.1646803111858406,0.8226017383581737,-0.5814194929855053
1.0,-2.870782453609992,-2.412481222015213,-1.1643273387720163,-2.230867819190673,0.6186093021101413,1.5098317486849326,0.3020720602726256
1.0,-1.3892195424288918,0.3131749198879727,-0.781997770002274,-0.4651475352460771,0.6655192411305093,0.3131111987834425,-0.632456786226985
1.0,-1.3918639473690604,0.6205413161767508,0.4629037787009922,-1.7036144956983317,0.7304294018296608,-0.508223800891763,-0.2472469289886402
1.0,-1.2208447290814537,0.7073846565179814,0.3504534670752909,0.145283548733158,-0.2199972323642716,-0.7726606604092673,-0.5775610665138741
1.0,-1.4821973677415343,0.3406232278487185,-0.404613195656815,-0.2692627873395466,2.4142912229786684,0.7416990616544112,-0.8550080011566054
